Number,Time,Si
216,1.10002,59541.47053
217,1.10503,70598.80624
218,1.11004,66576.82806
219,1.11504,62958.15087
220,1.12005,60144.34643
221,1.12506,102014.5873
222,1.13007,64164.26051
223,1.13507,62757.14389
224,1.14008,61752.15732
225,1.14509,71403.35676
226,1.1501,129467.0141
227,1.1551,75024.47322
228,1.16011,72610.27937
229,1.16512,63561.19118
230,1.17013,70799.93903
231,1.17513,67984.37362
232,1.18014,63159.16109
233,1.18515,63963.23417
234,1.19015,60747.25134
235,1.19516,68587.65583
236,1.20017,134519.9508
237,1.20518,66978.9678
238,1.21018,65973.64263
239,1.21519,60345.31151
240,1.2202,59340.51835
241,1.22521,63762.21106
242,1.23021,57733.01687
243,1.23522,62154.14227
244,1.24023,66978.9678
245,1.24524,64566.32285
246,1.25024,70196.55034
247,1.25525,68386.55853
248,1.26026,62958.15087
249,1.26527,65370.48623
250,1.27027,74018.50262
251,1.27528,65772.58727
252,1.28029,61350.18525
253,1.2853,65571.53514
254,1.2903,61551.16967
255,1.29531,73414.959
256,1.30032,67582.20162
257,1.30533,58938.62364
258,1.31033,62958.15087
259,1.31534,66576.82806
260,1.32035,70397.67668
261,1.32536,63561.19118
262,1.33036,60747.25134
263,1.33537,64968.39809
264,1.34038,62757.14389
265,1.34539,64968.39809
266,1.35039,62757.14389
267,1.3554,73012.61273
268,1.36041,69190.96707
269,1.36542,60345.31151
270,1.37042,67180.04251
271,1.37543,61350.18525
272,1.38044,104232.7745
273,1.38545,65571.53514
274,1.39045,62355.13959
275,1.39546,68989.86009
276,1.40047,124416.1086
277,1.40548,74420.88118
278,1.41048,67984.37362
279,1.41549,71403.35676
280,1.4205,71604.50246
281,1.42551,67381.12045
282,1.43051,63762.21106
283,1.43552,70196.55034
284,1.44053,73213.78425
285,1.44553,71202.21429
286,1.45054,69392.07727
287,1.45555,70598.80624
288,1.46056,67783.28601
289,1.46556,70196.55034
290,1.47057,66576.82806
291,1.47558,64566.32285
292,1.48059,69794.30735
293,1.48559,64365.29006
294,1.4906,68989.86009
295,1.49561,64968.39809
296,1.50062,66174.70121
297,1.50562,63762.21106
298,1.51063,71604.50246
299,1.51564,71001.07504
300,1.52065,63561.19118
301,1.52565,66777.89632
302,1.53066,66576.82806
303,1.53567,99192.00681
304,1.54068,81263.29307
305,1.54568,71805.65139
306,1.55069,69995.42723
307,1.5557,70799.93903
308,1.56071,65370.48623
309,1.56571,159410.0219
310,1.57072,71604.50246
311,1.57573,66174.70121
312,1.58074,67381.12045
313,1.58574,64968.39809
314,1.59075,57733.01687
315,1.59576,65370.48623
316,1.60077,66375.76302
317,1.60577,71202.21429
318,1.61078,60546.27981
319,1.61579,59742.42594
320,1.6208,64566.32285
321,1.6258,66576.82806
322,1.63081,67180.04251
323,1.63582,64968.39809
324,1.64083,64164.26051
325,1.64583,71403.35676
326,1.65084,88310.85421
327,1.65585,67582.20162
328,1.66086,69392.07727
329,1.66586,62154.14227
330,1.67087,67984.37362
331,1.67588,129467.0141
332,1.68088,68587.65583
333,1.68589,61752.15732
334,1.6909,64767.35886
335,1.69591,73817.31818
336,1.70091,65571.53514
337,1.70592,65571.53514
338,1.71093,73012.61273
339,1.71594,64968.39809
340,1.72094,68386.55853
341,1.72595,71805.65139
342,1.73096,117550.1346
343,1.73597,64767.35886
344,1.74097,62556.14013
345,1.74598,69593.1907
346,1.75099,63159.16109
347,1.756,71001.07504
348,1.761,62556.14013
349,1.76601,69593.1907
350,1.77102,68587.65583
351,1.77603,74420.88118
352,1.78103,68386.55853
353,1.78604,56125.72162
354,1.79105,66777.89632
355,1.79606,64968.39809
356,1.80106,68386.55853
357,1.80607,64566.32285
358,1.81108,59943.38458
359,1.81609,59541.47053
360,1.82109,67381.12045
361,1.8261,65973.64263
362,1.83111,56728.43317
363,1.83612,67582.20162
364,1.84112,62958.15087
365,1.84613,140181.6529
366,1.85114,54116.89249
367,1.85615,50301.00442
368,1.86115,69392.07727
369,1.86616,73012.61273
370,1.87117,54116.89249
371,1.87618,69190.96707
372,1.88118,70799.93903
373,1.88619,68788.75635
374,1.8912,59340.51835
375,1.89621,64566.32285
376,1.90121,63762.21106
377,1.90622,66576.82806
378,1.91123,71604.50246
379,1.91624,62556.14013
380,1.92124,59541.47053
381,1.92625,66576.82806
382,1.93126,65169.44055
383,1.93626,71403.35676
384,1.94127,70397.67668
385,1.94628,67582.20162
386,1.95129,63360.17452
387,1.95629,72006.80354
388,1.9613,66777.89632
389,1.96631,128860.7982
390,1.97132,72409.11753
391,1.97632,79451.703
392,1.98133,86296.8612
393,1.98634,76634.1941
394,1.99135,69995.42723
395,1.99635,69190.96707
396,2.00136,98587.25072
397,2.00637,73817.31818
398,2.01138,69995.42723
399,2.01638,63159.16109
400,2.02139,70799.93903
401,2.0264,60144.34643
402,2.03141,61953.14818
403,2.03641,66576.82806
404,2.04142,61149.20406
405,2.04643,61953.14818
406,2.05144,121790.4401
407,2.05644,68788.75635
408,2.06145,66576.82806
409,2.06646,68788.75635
410,2.07147,66978.9678
411,2.07647,60546.27981
412,2.08148,56326.62225
413,2.08649,65370.48623
414,2.0915,61350.18525
415,2.0965,71202.21429
416,2.10151,101006.45
417,2.10652,71202.21429
418,2.11153,62355.13959
419,2.11653,64767.35886
420,2.12154,64566.32285
421,2.12655,65370.48623
422,2.13156,66576.82806
423,2.13656,68788.75635
424,2.14157,59943.38458
425,2.14658,65571.53514
426,2.15159,71403.35676
427,2.15659,68386.55853
428,2.1616,61149.20406
429,2.16661,66576.82806
430,2.17161,64164.26051
431,2.17662,64968.39809
432,2.18163,64365.29006
433,2.18664,66777.89632
434,2.19164,65169.44055
435,2.19665,68587.65583
436,2.20166,64365.29006
437,2.20667,60345.31151
438,2.21167,64164.26051
439,2.21668,110486.139
440,2.22169,60747.25134
441,2.2267,58737.68112
442,2.2317,62757.14389
443,2.23671,125224.117
444,2.24172,117550.1346
445,2.24673,72006.80354
446,2.25173,66576.82806
447,2.25674,65973.64263
448,2.26175,66375.76302
449,2.26676,65169.44055
450,2.27176,61752.15732
451,2.27677,71403.35676
452,2.28178,64566.32285
453,2.28679,62958.15087
454,2.29179,60948.22609
455,2.2968,63360.17452
456,2.30181,89922.28146
457,2.30682,101409.6952
458,2.31182,67984.37362
459,2.31683,69190.96707
460,2.32184,71202.21429
461,2.32685,67984.37362
462,2.33185,66174.70121
463,2.33686,67180.04251
464,2.34187,58134.87291
465,2.34688,64968.39809
466,2.35188,67783.28601
467,2.35689,68386.55853
468,2.3619,66777.89632
469,2.36691,111495.038
470,2.37191,72207.95892
471,2.37692,64365.29006
472,2.38193,65772.58727
473,2.38694,65169.44055
474,2.39194,65169.44055
475,2.39695,66174.70121
476,2.40196,69392.07727
477,2.40697,65370.48623
478,2.41197,64566.32285
479,2.41698,68185.46446
480,2.42199,66978.9678
481,2.42699,59139.56938
482,2.432,65370.48623
483,2.43701,59340.51835
484,2.44202,59541.47053
485,2.44702,64767.35886
486,2.45203,66777.89632
487,2.45704,62154.14227
488,2.46205,55924.82421
489,2.46705,64566.32285
490,2.47206,66174.70121
491,2.47707,71604.50246
492,2.48208,68788.75635
493,2.48708,62556.14013
494,2.49209,68587.65583
495,2.4971,149083.7686
496,2.50211,67783.28601
497,2.50711,60144.34643
498,2.51212,61752.15732
499,2.51713,58737.68112
500,2.52214,65571.53514
501,2.52714,64767.35886
502,2.53215,63159.16109
503,2.53716,67984.37362
504,2.54217,66978.9678
505,2.54717,64164.26051
506,2.55218,68386.55853
507,2.55719,61953.14818
508,2.5622,130477.4389
509,2.5672,60747.25134
510,2.57221,70799.93903
511,2.57722,66576.82806
512,2.58223,57532.09369
513,2.58723,63360.17452
514,2.59224,66375.76302
515,2.59725,58938.62364
516,2.60226,73414.959
517,2.60726,67582.20162
518,2.61227,72811.44443
519,2.61728,64968.39809
520,2.62229,64164.26051
521,2.62729,70397.67668
522,2.6323,72409.11753
523,2.63731,62958.15087
524,2.64232,73414.959
525,2.64732,63561.19118
526,2.65233,68386.55853
527,2.65734,67180.04251
528,2.66234,68587.65583
529,2.66735,112504.018
530,2.67236,60546.27981
531,2.67737,72610.27937
532,2.68237,61752.15732
533,2.68738,128658.7327
534,2.69239,66777.89632
535,2.6974,68185.46446
536,2.7024,63159.16109
537,2.70741,137552.6883
538,2.71242,74420.88118
539,2.71743,63561.19118
540,2.72243,58938.62364
541,2.72744,65973.64263
542,2.73245,64968.39809
543,2.73746,72811.44443
544,2.74246,59742.42594
545,2.74747,65571.53514
546,2.75248,64164.26051
547,2.75749,66777.89632
548,2.76249,64365.29006
549,2.7675,72409.11753
550,2.77251,59139.56938
551,2.77752,73414.959
552,2.78252,61752.15732
553,2.78753,71001.07504
554,2.79254,65169.44055
555,2.79755,65772.58727
556,2.80255,54719.5074
557,2.80756,65973.64263
558,2.81257,69392.07727
559,2.81758,63561.19118
560,2.82258,67984.37362
561,2.82759,69995.42723
562,2.8326,70196.55034
563,2.83761,66576.82806
564,2.84261,58938.62364
565,2.84762,90123.72442
566,2.85263,93145.75705
567,2.85764,65370.48623
568,2.86264,59139.56938
569,2.86765,66375.76302
570,2.87266,61752.15732
571,2.87767,70397.67668
572,2.88267,53514.30656
573,2.88768,63762.21106
574,2.89269,64968.39809
575,2.8977,57331.17373
576,2.9027,77036.65661
577,2.90771,60144.34643
578,2.91272,62355.13959
579,2.91772,64365.29006
580,2.92273,133307.0606
581,2.92774,71403.35676
582,2.93275,67582.20162
583,2.93775,66576.82806
584,2.94276,68185.46446
585,2.94777,67180.04251
586,2.95278,117348.251
587,2.95778,77036.65661
588,2.96279,67582.20162
589,2.9678,66978.9678
590,2.97281,64566.32285
591,2.97781,59943.38458
592,2.98282,59943.38458
593,2.98783,106854.7739
594,2.99284,70196.55034
595,2.99784,63159.16109
596,3.00285,62154.14227
597,3.00786,72207.95892
598,3.01287,62556.14013
599,3.01787,64365.29006
600,3.02288,67582.20162
601,3.02789,70397.67668
602,3.0329,63561.19118
603,3.0379,64566.32285
604,3.04335,64968.39809
605,3.04835,68587.65583
606,3.05336,64968.39809
607,3.05837,66978.9678
608,3.06338,68587.65583
609,3.06838,67180.04251
610,3.07339,71805.65139
611,3.0784,65571.53514
612,3.08341,69593.1907
613,3.08841,96370.06103
614,3.09342,78445.37714
615,3.09843,62355.13959
616,3.10344,67180.04251
617,3.10844,130275.3474
618,3.11345,61350.18525
619,3.11846,62355.13959
620,3.12347,66576.82806
621,3.12847,65772.58727
622,3.13348,73012.61273
623,3.13849,66978.9678
624,3.1435,64164.26051
625,3.1485,66777.89632
626,3.15351,67180.04251
627,3.15852,72811.44443
628,3.16353,58737.68112
629,3.16853,66978.9678
630,3.17354,68386.55853
631,3.17855,68788.75635
632,3.18356,61350.18525
633,3.18856,101208.0709
634,3.19357,85692.72635
635,3.19858,59742.42594
636,3.20359,129062.8669
637,3.20859,63762.21106
638,3.2136,63561.19118
639,3.21861,68185.46446
640,3.22362,68386.55853
641,3.22862,61149.20406
642,3.23363,60345.31151
643,3.23864,63963.23417
644,3.24365,58335.80576
645,3.24865,64566.32285
646,3.25366,63159.16109
647,3.25867,127244.3655
648,3.26368,62154.14227
649,3.26868,66777.89632
650,3.27369,69794.30735
651,3.2787,64566.32285
652,3.2837,65973.64263
653,3.28871,71001.07504
654,3.29372,110687.9123
655,3.29873,67783.28601
656,3.30373,64968.39809
657,3.30874,65571.53514
658,3.31375,64767.35886
659,3.31876,64566.32285
660,3.32376,141192.9395
661,3.32877,69794.30735
662,3.33378,62757.14389
663,3.33879,70799.93903
664,3.34379,71403.35676
665,3.3488,63159.16109
666,3.35381,69995.42723
667,3.35882,82672.48852
668,3.36382,64164.26051
669,3.36883,69190.96707
670,3.37384,62355.13959
671,3.37885,73414.959
672,3.38385,69392.07727
673,3.38886,67381.12045
674,3.39387,62154.14227
675,3.39888,65772.58727
676,3.40388,68386.55853
677,3.40889,69190.96707
678,3.4139,65169.44055
679,3.41891,65169.44055
680,3.42391,68185.46446
681,3.42892,59742.42594
682,3.43393,64365.29006
683,3.43894,61551.16967
684,3.44394,65571.53514
685,3.44895,63762.21106
686,3.45396,70196.55034
687,3.45897,69190.96707
688,3.46397,61953.14818
689,3.46898,67783.28601
690,3.47399,65169.44055
691,3.479,59139.56938
692,3.484,64968.39809
693,3.48901,66978.9678
694,3.49402,60948.22609
695,3.49903,63561.19118
696,3.50403,55723.93002
697,3.50904,58536.74183
698,3.51405,66978.9678
699,3.51906,70598.80624
700,3.52406,79049.16296
701,3.52907,67180.04251
702,3.53408,67381.12045
703,3.53908,68587.65583
704,3.54409,63762.21106
705,3.5491,75829.30783
706,3.55411,67582.20162
707,3.55911,73616.13698
708,3.56412,70196.55034
709,3.56913,61350.18525
710,3.57414,60747.25134
711,3.57914,67381.12045
712,3.58415,65973.64263
713,3.58916,69190.96707
714,3.59417,56728.43317
715,3.59917,61953.14818
716,3.60418,61752.15732
717,3.60919,67582.20162
718,3.6142,63360.17452
719,3.6192,62958.15087
720,3.62421,118559.6013
721,3.62922,67582.20162
722,3.63423,69794.30735
723,3.63923,66777.89632
724,3.64424,62757.14389
725,3.64925,65370.48623
726,3.65426,67381.12045
727,3.65926,65169.44055
728,3.66427,68989.86009
729,3.66928,72207.95892
730,3.67429,66375.76302
731,3.67929,67180.04251
732,3.6843,67783.28601
733,3.68931,63762.21106
734,3.69432,65973.64263
735,3.69932,63762.21106
736,3.70433,63360.17452
737,3.70934,68587.65583
738,3.71435,64968.39809
739,3.71935,66375.76302
740,3.72436,69593.1907
741,3.72937,65973.64263
742,3.73438,192470.4744
743,3.73938,75426.88407
744,3.74439,74018.50262
745,3.7494,62154.14227
746,3.75441,66375.76302
747,3.75941,62556.14013
748,3.76442,63561.19118
749,3.76943,64566.32285
750,3.77443,63159.16109
751,3.77944,63561.19118
752,3.78445,71001.07504
753,3.78946,62355.13959
754,3.79446,63561.19118
755,3.79947,60948.22609
756,3.80448,60144.34643
757,3.80949,65169.44055
758,3.81449,70196.55034
759,3.8195,67984.37362
760,3.82451,70799.93903
761,3.82952,60546.27981
762,3.83452,68185.46446
763,3.83953,67180.04251
764,3.84454,58536.74183
765,3.84955,66777.89632
766,3.85455,64566.32285
767,3.85956,68185.46446
768,3.86457,61551.16967
769,3.86958,63762.21106
770,3.87458,116540.7491
771,3.87959,64566.32285
772,3.8846,83075.14488
773,3.88961,68587.65583
774,3.89461,72006.80354
775,3.89962,72409.11753
776,3.90463,63963.23417
777,3.90964,56929.34347
778,3.91464,65973.64263
779,3.91965,66576.82806
780,3.92466,64968.39809
781,3.92967,58335.80576
782,3.93467,105442.86
783,3.93968,63159.16109
784,3.94469,71403.35676
785,3.9497,65571.53514
786,3.9547,65169.44055
787,3.95971,62556.14013
788,3.96472,68587.65583
789,3.96973,65772.58727
790,3.97473,64365.29006
791,3.97974,61551.16967
792,3.98475,71604.50246
793,3.98976,70598.80624
794,3.99476,61350.18525
795,3.99977,61953.14818
796,4.00478,61953.14818
797,4.00979,67582.20162
798,4.01479,66174.70121
799,4.0198,69995.42723
800,4.02481,72006.80354
801,4.02981,67582.20162
802,4.03482,70598.80624
803,4.03983,65370.48623
804,4.04484,65571.53514
805,4.04984,71403.35676
806,4.05485,66777.89632
807,4.05986,62958.15087
808,4.06487,68788.75635
809,4.06987,61953.14818
810,4.07488,67582.20162
811,4.07989,138361.5419
812,4.0849,74420.88118
813,4.0899,64767.35886
814,4.09491,65169.44055
815,4.09992,58737.68112
816,4.10493,61752.15732
817,4.10993,74823.27265
818,4.11494,113311.2604
819,4.11995,69593.1907
820,4.12496,107258.2071
821,4.12996,61752.15732
822,4.13497,87102.4196
823,4.13998,75426.88407
824,4.14499,61953.14818
825,4.14999,71001.07504
826,4.155,65571.53514
827,4.16001,62757.14389
828,4.16502,61752.15732
829,4.17002,73213.78425
830,4.17503,70598.80624
831,4.18004,62556.14013
832,4.18505,64767.35886
833,4.19005,67582.20162
834,4.19506,64968.39809
835,4.20007,60345.31151
836,4.20508,66174.70121
837,4.21008,61551.16967
838,4.21509,61350.18525
839,4.2201,65370.48623
