Number,Time 197Au,197Au
376,1.885,0
377,1.89,0
378,1.895,0
379,1.9,0
380,1.905,0
381,1.91,0
382,1.915,0
383,1.92,0
384,1.925,0
385,1.93,0
386,1.935,0
387,1.94,0
388,1.945,0
389,1.95,0
390,1.955,0
391,1.96,0
392,1.965,0
393,1.97,0
394,1.975,0
395,1.98,200.0016
396,1.985,44478.99469
397,1.99,0
398,1.995,0
399,2,200.0016
400,2.005,400.0064001
401,2.01,0
402,2.015,0
403,2.021,0
404,2.026,0
405,2.031,0
406,2.036,0
407,2.041,0
408,2.046,0
409,2.051,0
410,2.056,0
411,2.061,0
412,2.066,0
413,2.071,41067.35045
414,2.076,0
415,2.081,0
416,2.086,0
417,2.091,0
418,2.096,0
419,2.101,0
420,2.106,0
421,2.111,0
422,2.116,0
423,2.121,0
424,2.126,0
425,2.131,0
426,2.136,0
427,2.141,200.0016
428,2.146,0
429,2.151,0
430,2.156,0
431,2.161,0
432,2.166,0
433,2.171,0
434,2.176,0
435,2.181,0
436,2.186,0
437,2.191,0
438,2.196,0
439,2.201,0
440,2.206,200.0016
441,2.211,0
442,2.216,0
443,2.221,400.0064001
444,2.226,0
445,2.231,0
446,2.236,0
447,2.241,0
448,2.246,0
449,2.251,0
450,2.256,0
451,2.261,200.0016
452,2.266,0
453,2.271,0
454,2.276,0
455,2.281,200.0016
456,2.286,0
457,2.291,0
458,2.296,0
459,2.301,200.0016
460,2.306,0
461,2.311,200.0016
462,2.316,0
463,2.321,0
464,2.326,200.0016
465,2.331,0
466,2.336,200.0016
467,2.341,0
468,2.346,0
469,2.351,0
470,2.356,0
471,2.361,400.0064001
472,2.366,0
473,2.371,200.0016
474,2.376,0
475,2.381,0
476,2.386,0
477,2.391,0
478,2.396,0
479,2.401,0
480,2.406,0
481,2.411,0
482,2.416,0
483,2.421,0
484,2.426,0
485,2.431,0
486,2.436,0
487,2.441,0
488,2.446,200.0016
489,2.451,47490.04112
490,2.456,0
491,2.461,0
492,2.466,200.0016
493,2.471,0
494,2.476,0
495,2.481,0
496,2.486,0
497,2.491,0
498,2.496,0
499,2.501,0
500,2.506,0
501,2.511,0
502,2.516,0
503,2.521,0
504,2.526,0
505,2.531,0
506,2.536,0
507,2.541,200.0016
508,2.546,0
509,2.551,0
510,2.556,400.0064001
511,2.561,0
512,2.566,0
513,2.571,0
514,2.576,0
515,2.581,0
516,2.586,0
517,2.591,0
518,2.596,0
519,2.601,0
520,2.606,0
521,2.611,0
522,2.616,0
523,2.621,0
524,2.626,0
525,2.631,0
526,2.636,0
527,2.641,0
528,2.646,0
529,2.651,0
530,2.656,0
531,2.661,0
532,2.666,200.0016
533,2.671,0
534,2.676,0
535,2.681,0
536,2.686,200.0016
537,2.692,0
538,2.697,0
539,2.702,0
540,2.707,200.0016
541,2.712,200.0016
542,2.717,0
543,2.722,0
544,2.727,0
545,2.732,0
546,2.737,0
547,2.742,0
548,2.747,0
549,2.752,0
550,2.757,0
551,2.762,0
552,2.767,0
553,2.772,0
554,2.777,200.0016
555,2.782,0
556,2.787,0
557,2.792,0
558,2.797,200.0016
559,2.802,64365.29006
560,2.807,200.0016
561,2.812,0
562,2.817,200.0016
563,2.822,0
564,2.827,0
565,2.832,0
566,2.837,200.0016
567,2.842,0
568,2.847,0
569,2.852,41870.00665
570,2.857,200.0016
571,2.862,0
572,2.867,0
573,2.872,0
574,2.877,0
575,2.882,0
576,2.887,200.0016
577,2.892,0
578,2.897,200.0016
579,2.902,0
580,2.907,0
581,2.912,0
582,2.917,200.0016
583,2.922,0
584,2.927,0
585,2.932,200.0016
586,2.937,0
587,2.942,0
588,2.947,62154.14227
589,2.952,0
590,2.957,0
591,2.962,200.0016
592,2.967,200.0016
593,2.972,0
594,2.977,0
595,2.982,0
596,2.987,0
597,2.992,0
598,2.997,0
599,3.002,0
600,3.007,0
601,3.012,0
602,3.017,0
603,3.022,0
604,3.027,0
605,3.032,0
606,3.037,0
607,3.042,0
608,3.047,0
609,3.052,0
610,3.057,0
611,3.062,200.0016
612,3.067,0
613,3.072,0
614,3.077,0
615,3.082,0
616,3.087,600.0144003
617,3.092,0
618,3.097,200.0016
619,3.102,0
620,3.107,400.0064001
621,3.112,0
622,3.117,0
623,3.122,0
624,3.127,0
625,3.132,0
626,3.137,0
627,3.142,0
628,3.147,0
629,3.152,0
630,3.157,0
631,3.162,0
632,3.167,0
633,3.172,0
634,3.177,0
635,3.182,0
636,3.187,0
637,3.192,0
638,3.197,0
639,3.202,0
640,3.207,0
641,3.212,0
642,3.217,0
643,3.222,0
644,3.227,0
645,3.232,0
646,3.237,0
647,3.242,0
648,3.247,0
649,3.252,0
650,3.257,0
651,3.262,0
652,3.267,0
653,3.272,0
654,3.277,0
655,3.282,0
656,3.287,0
657,3.292,0
658,3.297,0
659,3.302,200.0016
660,3.307,0
661,3.312,0
662,3.317,0
663,3.322,0
664,3.327,0
665,3.332,0
666,3.337,0
667,3.342,0
668,3.347,53514.30656
669,3.352,2400.230422
670,3.357,600.0144003
671,3.362,200.0016
672,3.368,0
